ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
5998;7891095023929;7891095023929;;F;BATATA PALHA CEBOLA SALSA  200 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9817;7896020901549;7896020901549;;F;BATATA PALHA CEBOLA SALSA ROMANHA 80G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16629;7980048412009;7980048412009;;F;BATATA PALHA CHIPS GRILO 200 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7962;7892840227944;7892840227944;;F;BATATA PALHA ELMA CHIPS NA MESA 70G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
8129;7892840814830;7892840814830;;F;BATATA PALHA ELMA CHIPS NA MESA 70G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7964;7892840232344;7892840232344;;F;BATATA PALHA ELMA CHIPS ORIGINAL 110G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
8130;7892840814861;7892840814861;;F;BATATA PALHA ELMA CHIPS ORIGINAL 110G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
8035;7892840258641;7892840258641;;F;BATATA PALHA ELMA CHIPS ZERO SAL 120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16324;7898994322184;7898994322184;;F;BATATA PALHA EX FINA PERTUTTI  80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6004;7891095028641;7891095028641;;F;BATATA PALHA EXTRA FINA C ALECRIM YOKI 120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
